video_id,title,publish_date,year,month,title_length
r1WUFIK-96M,Learn English with THE OFFICE — BEST PRANKS,2024-01-13 15:00:47+00:00,2024,1,43
L87PAAejHPs,Learn English with the JOE ROGAN PODCAST — Elon Musk,2024-01-10 15:00:15+00:00,2024,1,52
zeYCVVqRCFw,Learn English with LADY AND THE TRAMP — Disney Classic,2024-01-03 15:00:11+00:00,2024,1,54
GI0hy1LGAA0,Learn English with PEAKY BLINDERS — The Final Battle with Kimber,2023-12-27 15:01:40+00:00,2023,12,64
kiV19ZpZCWo,Learn English with SONGS | All I Want for Christmas Is You (Mariah Carey),2023-12-23 15:15:35+00:00,2023,12,73
T-FXi4Buqps,Why You Still NEED SUBTITLES for English TV (Natives Do Too!) | PODCAST,2023-12-16 15:00:31+00:00,2023,12,71
-nVgkNE5Z0c,Learn Engish with The Little Mermaid,2023-12-13 16:35:30+00:00,2023,12,36
Q4tFA96rwqM,Why Stranger Things is AWESOME! — Learn English with Netflix Series,2023-12-06 15:52:30+00:00,2023,12,67
zX6lUlANGk0,Learn ENGLISH VOCABULARY with POPULAR MOVIE LINES!,2023-12-02 15:45:03+00:00,2023,12,50
u46J6HLHH7o,Learn English with NETFLIX&#39;s ONE PIECE,2023-11-29 15:00:59+00:00,2023,11,42
EvP4a0i-Hbk,3 Lessons for ENGLISH Learners from ARNOLD Schwarzenegger – Netflix Series,2023-11-22 15:00:09+00:00,2023,11,74
BJ2VqM1V_hQ,Learn English with The Chronicles of NARNIA,2023-11-15 15:00:09+00:00,2023,11,43
MBhV9aV7UzU,Learn Advanced ENGLISH with Podcasts — Daily Expressions,2023-11-11 15:00:15+00:00,2023,11,56
Iw8GvKqYKJI,What LEVEL is Your English? — TEST with TOY STORY Movies,2023-11-08 15:00:27+00:00,2023,11,56
Ny5WULB2PaM,Real English Conversation | TRAVEL,2023-11-04 14:57:39+00:00,2023,11,34
gl7LB1nZroo,Learn English with AVATAR: The Way of Water,2023-11-01 15:55:17+00:00,2023,11,43
gSTtANPfyMI,Learn English with BOND... James Bond — CASINO ROYALE,2023-10-18 16:10:29+00:00,2023,10,53
n8eXwn-y68U,Discover Your ENGLISH LEVEL — Interview about GENERATION Z,2023-10-04 15:00:10+00:00,2023,10,58
49BiJEqOsvQ,Learn English with PODCASTS — Informal Expression or Swearing?,2023-09-23 15:00:09+00:00,2023,9,62
fEJ_zsL-17k,Learn English with SUPER MARIO Movie,2023-09-13 15:00:08+00:00,2023,9,36
gwvMDmSAdYA,Learn English with NICOLAS CAGE | National Treasure,2023-09-06 15:00:10+00:00,2023,9,51
nT6Be1Bqfoc,Learn English with PODCASTS — When I Was Younger...,2023-09-02 15:00:08+00:00,2023,9,51
X23hPxE6E14,Learn ENGLISH with Oppenheimer,2023-08-30 15:00:09+00:00,2023,8,30
9u1MEeTSY0o,Learn English with FROZEN | Anna and Elsa,2023-08-16 16:53:36+00:00,2023,8,41
Vcum4dzafOE,Simple Method to Understand and Speak Fast English,2023-08-05 15:00:10+00:00,2023,8,50
VZJaXyjs9RI,Learn English for FLUENCY TEST — IELTS with TV Series,2023-08-02 15:00:11+00:00,2023,8,53
DSQ63A9nQq8,Learn ENGLISH with Michael Jackson — BEAT IT,2023-07-29 15:00:09+00:00,2023,7,44
2WfACJPjr78,Learn English with CITADEL | Priyanka Chopra,2023-07-26 15:00:11+00:00,2023,7,44
Ns9o3Ixysqo,Learn English with SHREK — Ogres are Like Onions,2023-07-19 15:00:11+00:00,2023,7,48
O9akFNpXKhQ,Learn ADVANCED English with Documentaries — MACHU PICCHU,2023-07-15 15:00:10+00:00,2023,7,56
qbJmrCCJKjU,Learn English with Tom Cruise — MISSION IMPOSSIBLE,2023-07-12 15:00:20+00:00,2023,7,50
7erSHGVNjjQ,Learn English with SHERLOCK,2023-07-05 15:00:08+00:00,2023,7,27
Zd_HKRQBpcY,Learn English with PODCASTS — Reacting to Funny YouTube Clips,2023-07-01 15:01:13+00:00,2023,7,61
yEIq9N_oymI,Learn English with THIS IS US,2023-06-21 15:11:59+00:00,2023,6,29
w6djlfLVoNE,Learn English with STEVE JOBS — REVEALING the iPhone for the FIRST TIME,2023-06-17 15:00:11+00:00,2023,6,71
__pFdHhVX4o,Learn English with Disney&#39;s HANNAH MONTANA,2023-06-14 15:02:09+00:00,2023,6,46
oGjowST6d20,"Fun English Lesson with TED Talks — How to Write Less, But SAY MORE",2023-06-10 13:07:05+00:00,2023,6,67
hgdwTELjrNI,Learn ENGLISH with Netflix Series — WEDNESDAY and Enid,2023-06-07 13:00:11+00:00,2023,6,54
1lau7GBzCR0,How Speaking TWO LANGUAGES Makes Your Brain Stronger,2023-06-03 15:00:10+00:00,2023,6,52
OBXGshxbkvI,Analyzing the ENGLISH of These 3 FAMOUS BRAZILIANS,2023-05-31 15:00:09+00:00,2023,5,50
eOgZf0Int2s,The LION KING — Learn English with PODCAST Conversation,2023-05-27 15:00:08+00:00,2023,5,55
YZcjgKjVyXk,Learn English with SUITS,2023-05-24 15:09:31+00:00,2023,5,24
Rr0yc0nxKN4,Learn English with The BOSS BABY,2023-05-17 15:00:29+00:00,2023,5,32
OQKbBCVDa7g,Conversation in ENGLISH — Learn Watching Netflix&#39;s WEDNESDAY,2023-05-13 15:00:11+00:00,2023,5,64
p-6zRJi4n3s,Learn English Vocabulary with BREAKING BAD — QUICK Lesson,2023-05-06 15:00:09+00:00,2023,5,57
8WRjQAKUlio,Learn English with RATATOUILLE — Remy Meets Linguini,2023-05-03 15:00:09+00:00,2023,5,52
uQ2rJKiiRiU,Learn ENGLISH with Disney&#39;s TANGLED,2023-04-26 15:27:27+00:00,2023,4,39
ifqm-Pp8cGg,Learn English with TOP GUN: MAVERICK | Tom Cruise,2023-04-05 15:00:15+00:00,2023,4,49
iB_eA5tEAIk,Learn English with Disney+ | The MANDALORIAN,2023-03-22 15:00:10+00:00,2023,3,44
r3K7sfk7dmY,Learn English with THE OFFICE,2023-03-18 15:00:08+00:00,2023,3,29
sn4eOnRyJVg,What Level is Your English? — TEST with TAYLOR SWIFT,2023-03-04 15:00:08+00:00,2023,3,52
1puk6bREVMI,Practice SPEAKING English with Anne with an E,2023-02-11 15:00:10+00:00,2023,2,45
7nPv7pAFkio,Learn English with ARCANE | Netflix Series,2023-02-08 15:00:23+00:00,2023,2,42
_v8BHPo4cjk,Hakuna Matata | Learn English with THE LION KING,2023-02-04 15:00:21+00:00,2023,2,48
EccLlzUCF4w,3 Native English Accents You Need to Understand,2023-01-21 15:00:08+00:00,2023,1,47
rIRuoQMrCdg,Learn English with Netflix&#39;s WEDNESDAY,2023-01-18 15:00:07+00:00,2023,1,42
FZoeUNG_x4I,Learn English with These 3 Podcasts | ADVANCED ENGLISH LESSON,2023-01-11 15:45:48+00:00,2023,1,61
381NyVSorHo,Learn English with Jennifer ANISTON &amp; Brad PITT,2022-12-31 15:00:07+00:00,2022,12,51
lz_gewAzBm8,10 Great Songs For English Fluency in 2023,2022-12-24 15:00:09+00:00,2022,12,42
zmzdPOcel9A,4 Great Books for English Learners,2022-12-21 15:00:07+00:00,2022,12,34
44_CXWhbUcQ,#SofiaVergara English Lesson #shorts,2022-12-13 11:34:20+00:00,2022,12,36
vtls9Fq7JGU,What Level is Your English? — Test Your English with MUSIC,2022-12-10 15:00:25+00:00,2022,12,58
s3p2EoAzhtE,MOVIE with Subtitles for Learning English — THE SECRET LIFE OF PETS,2022-12-07 15:00:11+00:00,2022,12,67
kj60aznqK14,English for #Food with #Ratatouille #Shorts,2022-12-06 20:59:30+00:00,2022,12,43
_c0PLl6tcLI,Learn Advanced English with BLACK PANTHER | Marvel Movies,2022-12-03 14:00:16+00:00,2022,12,57
t_Yh1Em_ZdU,We Analyzed the English of These 4 FOOTBALL STARS,2022-11-30 14:00:08+00:00,2022,11,49
-ln_UCjahfc,POCAHONTAS with Subtitles for Learning English — ADVANCED Lesson,2022-11-26 15:00:10+00:00,2022,11,64
Nb7KuhBVCH8,British Pronunciation with #HarryStyles #Shorts,2022-11-17 15:00:13+00:00,2022,11,47
g7Z0r-KuBdo,#Shorts Fun English Lesson with #Zootopia,2022-11-15 14:00:19+00:00,2022,11,41
8Jzp5ZP5nUo,English Lesson with Enola Holmes #Shorts,2022-11-08 22:48:32+00:00,2022,11,40
pBN6gtJYplc,HALLOWEEN ENGLISH LESSON with Modern Family,2022-10-29 14:00:26+00:00,2022,10,43
cTVdqezrnuQ,Learn English with SHAKIRA | Shakira Sings Like a Goat,2022-10-12 14:00:12+00:00,2022,10,54
72okAeSn5Tc,Gloria Confuses 4 English Expressions 🤣 | Learn with Modern Family,2022-09-28 14:00:03+00:00,2022,9,66
fs1HTShFtDo,Learn English with Anime | NARUTO and DEATH NOTE,2022-09-24 14:00:30+00:00,2022,9,48
VeexZCGO4xQ,Learn Advanced English with MOVIES | Charlie&#39;s Angels,2022-08-27 14:00:10+00:00,2022,8,57
RHOGowO5i2A,Let&#39;s Learn English with These 5 INDIAN Celebrities,2022-08-20 14:00:10+00:00,2022,8,55
BDyJgI50ksU,Learn English with SOUTH PARK,2022-08-13 14:00:09+00:00,2022,8,29
OCp43nUf0yQ,Analyzing the English of These 5 Famous People,2022-08-02 14:00:11+00:00,2022,8,46
TCUOrnFVvIc,Learn English with SNOW WHITE,2022-07-30 14:00:09+00:00,2022,7,29
nZL0WhW1phE,Learn English with LITTLE WOMEN | Movie with Emma Watson,2022-07-19 14:00:32+00:00,2022,7,56
KdPjwNy9lZU,Learn English with BETTER CALL SAUL,2022-07-16 14:00:11+00:00,2022,7,35
EV9IoHnkPyY,Learn English with Queen 🎵 WE ARE THE CHAMPIONS,2022-07-12 14:00:07+00:00,2022,7,47
F23Bm4FrwJI,Learn English with THOR,2022-07-09 14:00:06+00:00,2022,7,23
jjdCyaVrQO8,Learn English with MOVIES | The Truman Show,2022-07-02 14:00:32+00:00,2022,7,43
oHODZhFe__0,Learn English with Netflix&#39;s STRANGER THINGS,2022-06-25 14:00:10+00:00,2022,6,48
4BeeN2VLvMw,Learn English for JOB INTERVIEWS | Lesson with Modern Family,2022-06-14 14:00:04+00:00,2022,6,60
FZXyYuiyq2I,Learn English with MOVIES | Adam Sandler in HAPPY GILMORE,2022-06-11 14:00:08+00:00,2022,6,57
zNxdtSlQo9g,3 Best TED Talks for Learning English,2022-06-07 14:00:13+00:00,2022,6,37
LZJp1UfrAVk,Learn English with Netflix&#39;s Stranger Things #Shorts,2022-05-29 17:08:21+00:00,2022,5,56
J4kd-hG9ZDk,Learn English Vocabulary from Daily News,2022-05-24 15:45:11+00:00,2022,5,40
Ni4-She1uIQ,English with AVATAR 2 #Shorts,2022-05-19 14:30:05+00:00,2022,5,29
MRD0pEWzT4c,We Analyzed the English of These 5 Celebrities,2022-05-17 14:00:10+00:00,2022,5,46
